Name,Params,Measurement Unit,Value
Average,Time threshold=0;Objects threshold=0,ms,0
Peak rate,Time threshold=0;Objects threshold=0,millis / second,25
Peak rate,Time threshold=3;Objects threshold=0,millis / second,9
Peak rate,Time threshold=5;Objects threshold=0,millis / second,8
Peak rate,Time threshold=10;Objects threshold=0,millis / second,8
Peak rate,Time threshold=20;Objects threshold=0,millis / second,7
Power punishing rate,Time threshold=3;Objects threshold=0,(ms)^1.2 / second,18
Power punishing rate,Time threshold=5;Objects threshold=0,(ms)^1.2 / second,17
Power punishing rate,Time threshold=3;Objects threshold=0,(ms)^1.5 / second,49
Power punishing rate,Time threshold=5;Objects threshold=0,(ms)^1.5 / second,47
Power punishing rate,Time threshold=3;Objects threshold=0,(ms)^2.0 / second,274
Power punishing rate,Time threshold=5;Objects threshold=0,(ms)^2.0 / second,270
!
Name,Params,Measurement Unit,Value
Average,Time threshold=0;Objects threshold=0,ms,0
Peak rate,Time threshold=0;Objects threshold=0,millis / second,23
Peak rate,Time threshold=3;Objects threshold=0,millis / second,8
Peak rate,Time threshold=5;Objects threshold=0,millis / second,7
Peak rate,Time threshold=10;Objects threshold=0,millis / second,6
Peak rate,Time threshold=20;Objects threshold=0,millis / second,4
Power punishing rate,Time threshold=3;Objects threshold=0,(ms)^1.2 / second,15
Power punishing rate,Time threshold=5;Objects threshold=0,(ms)^1.2 / second,14
Power punishing rate,Time threshold=3;Objects threshold=0,(ms)^1.5 / second,40
Power punishing rate,Time threshold=5;Objects threshold=0,(ms)^1.5 / second,38
Power punishing rate,Time threshold=3;Objects threshold=0,(ms)^2.0 / second,212
Power punishing rate,Time threshold=5;Objects threshold=0,(ms)^2.0 / second,209
!
Name,Params,Measurement Unit,Value
Average,Time threshold=0;Objects threshold=0,ms,0
Peak rate,Time threshold=0;Objects threshold=0,millis / second,25
Peak rate,Time threshold=3;Objects threshold=0,millis / second,11
Peak rate,Time threshold=5;Objects threshold=0,millis / second,10
Peak rate,Time threshold=10;Objects threshold=0,millis / second,9
Peak rate,Time threshold=20;Objects threshold=0,millis / second,8
Power punishing rate,Time threshold=3;Objects threshold=0,(ms)^1.2 / second,23
Power punishing rate,Time threshold=5;Objects threshold=0,(ms)^1.2 / second,22
Power punishing rate,Time threshold=3;Objects threshold=0,(ms)^1.5 / second,74
Power punishing rate,Time threshold=5;Objects threshold=0,(ms)^1.5 / second,72
Power punishing rate,Time threshold=3;Objects threshold=0,(ms)^2.0 / second,592
Power punishing rate,Time threshold=5;Objects threshold=0,(ms)^2.0 / second,588
!
