timestamp,task,len
10,Clipboard event,1
10,Calculate main window shift,9
10,Extract data,5
10,Collect Garbage,0
10,Send pictures,0
10,Cleanup,5
1192,Clipboard event,0
1192,Calculate main window shift,1
1192,Extract data,0
1192,Collect Garbage,0
1192,Send pictures,0
1192,Cleanup,0
1367,Clipboard event,0
1367,Calculate main window shift,16
1367,Extract data,0
1367,Collect Garbage,0
1367,Send pictures,0
1367,Cleanup,0
3135,Clipboard event,0
3135,Calculate main window shift,0
3135,Extract data,0
3135,Collect Garbage,0
3135,Send pictures,10
3135,Cleanup,0
3989,Clipboard event,0
3989,Calculate main window shift,7
3989,Extract data,5
3989,Collect Garbage,0
3989,Send pictures,1
3989,Cleanup,0
4216,Clipboard event,0
4216,Calculate main window shift,0
4216,Extract data,0
4216,Collect Garbage,148
4216,Send pictures,0
4216,Cleanup,0
4407,Clipboard event,0
4407,Calculate main window shift,9
4407,Extract data,27
4407,Collect Garbage,0
4407,Send pictures,2
4407,Cleanup,26
5242,Clipboard event,0
5242,Calculate main window shift,132
5242,Extract data,0
5242,Collect Garbage,0
5242,Send pictures,0
5242,Cleanup,0
5416,Clipboard event,0
5416,Calculate main window shift,92
5416,Extract data,1
5416,Collect Garbage,0
5416,Send pictures,11
5416,Cleanup,0
5852,Clipboard event,0
5852,Calculate main window shift,0
5852,Extract data,1
5852,Collect Garbage,0
5852,Send pictures,9
5852,Cleanup,1
5873,Clipboard event,0
5873,Calculate main window shift,11
5873,Extract data,3
5873,Collect Garbage,0
5873,Send pictures,11
5873,Cleanup,0
5908,Clipboard event,0
5908,Calculate main window shift,16
5908,Extract data,3
5908,Collect Garbage,0
5908,Send pictures,8
5908,Cleanup,0
6528,Clipboard event,0
6528,Calculate main window shift,2
6528,Extract data,4
6528,Collect Garbage,0
6528,Send pictures,1
6528,Cleanup,1
6856,Clipboard event,0
6856,Calculate main window shift,23
6856,Extract data,1
6856,Collect Garbage,0
6856,Send pictures,0
6856,Cleanup,0
6890,Clipboard event,0
6890,Calculate main window shift,28
6890,Extract data,1
6890,Collect Garbage,0
6890,Send pictures,4
6890,Cleanup,2
6957,Clipboard event,0
6957,Calculate main window shift,75
6957,Extract data,0
6957,Collect Garbage,0
6957,Send pictures,0
6957,Cleanup,0
7196,Clipboard event,0
7196,Calculate main window shift,6
7196,Extract data,3
7196,Collect Garbage,0
7196,Send pictures,0
7196,Cleanup,0
7369,Clipboard event,0
7369,Calculate main window shift,103
7369,Extract data,0
7369,Collect Garbage,0
7369,Send pictures,0
7369,Cleanup,0
7551,Clipboard event,0
7551,Calculate main window shift,37
7551,Extract data,0
7551,Collect Garbage,0
7551,Send pictures,1
