timestamp,type,value
0,Used,27
0,Total,250
1000,Used,75
1000,Total,250
2000,Used,154
2000,Total,315
3000,Used,141
3000,Total,315
4005,Used,175
4005,Total,315
5005,Used,202
5005,Total,315
6006,Used,245
6006,Total,396
7006,Used,236
7006,Total,396
8006,Used,224
8006,Total,476
9006,Used,290
9006,Total,476
10006,Used,309
10006,Total,476
11006,Used,374
11006,Total,572
12006,Used,352
12006,Total,572
13010,Used,325
13010,Total,572
14010,Used,297
14010,Total,758
15010,Used,373
15010,Total,758
16010,Used,463
16010,Total,758
17010,Used,389
17010,Total,758
18010,Used,542
18010,Total,758
19010,Used,345
19010,Total,758
20010,Used,414
20010,Total,758
21010,Used,465
21010,Total,758
22027,Used,355
22027,Total,758
23027,Used,465
23027,Total,758
24028,Used,620
24028,Total,758
25027,Used,590
25027,Total,758
26035,Used,350
26035,Total,758
27050,Used,567
27050,Total,758
28050,Used,629
28050,Total,758
29050,Used,417
29050,Total,758
30050,Used,471
30050,Total,758
31050,Used,527
31050,Total,758
32050,Used,551
32050,Total,758
33051,Used,577
33051,Total,758
34051,Used,588
34051,Total,758
35051,Used,598
35051,Total,758
36051,Used,390
36051,Total,758
37051,Used,531
37051,Total,758
38051,Used,589
38051,Total,758
39051,Used,610
39051,Total,758
40051,Used,637
40051,Total,758
41051,Used,448
41051,Total,758
42051,Used,462
42051,Total,758
43051,Used,538
43051,Total,758
44052,Used,576
44052,Total,758
45052,Used,593
45052,Total,758
46052,Used,614
46052,Total,758
47052,Used,427
47052,Total,758
48052,Used,440
48052,Total,758
49052,Used,458
49052,Total,758
50052,Used,483
50052,Total,758
51052,Used,506
51052,Total,758
52052,Used,517
52052,Total,758
53052,Used,529
53052,Total,758
54052,Used,559
54052,Total,758
55052,Used,579
55052,Total,758
56052,Used,589
56052,Total,758
57052,Used,431
57052,Total,758
58052,Used,491
58052,Total,758
59052,Used,430
59052,Total,758
timestamp,type,value
0,Used,27
0,Total,250
1021,Used,77
1021,Total,250
2020,Used,160
2020,Total,330
3020,Used,140
3020,Total,330
4020,Used,173
4020,Total,330
5027,Used,188
5027,Total,330
6027,Used,235
6027,Total,427
7028,Used,220
7028,Total,427
8028,Used,219
8028,Total,427
9028,Used,255
9028,Total,532
10028,Used,358
10028,Total,532
11035,Used,291
11035,Total,532
12036,Used,272
12036,Total,532
13036,Used,294
13036,Total,532
14036,Used,380
14036,Total,532
15037,Used,322
15037,Total,532
16037,Used,388
16037,Total,532
17037,Used,327
17037,Total,639
18037,Used,394
18037,Total,639
19038,Used,344
19038,Total,639
20037,Used,429
20037,Total,639
21037,Used,497
21037,Total,639
22038,Used,363
22038,Total,639
23037,Used,445
23037,Total,639
24052,Used,344
24052,Total,639
25052,Used,382
25052,Total,639
26052,Used,431
26052,Total,639
27052,Used,495
27052,Total,639
28052,Used,403
28052,Total,639
29052,Used,494
29052,Total,639
30052,Used,364
30052,Total,639
31052,Used,409
31052,Total,639
32052,Used,430
32052,Total,639
33053,Used,500
33053,Total,639
34053,Used,527
34053,Total,639
35053,Used,371
35053,Total,767
36053,Used,383
36053,Total,767
37053,Used,390
37053,Total,767
38053,Used,445
38053,Total,767
39053,Used,590
39053,Total,767
40053,Used,635
40053,Total,767
41053,Used,655
41053,Total,767
42053,Used,409
42053,Total,767
43053,Used,444
43053,Total,767
44054,Used,513
44054,Total,767
45054,Used,526
45054,Total,767
46054,Used,579
46054,Total,767
47054,Used,608
47054,Total,767
48054,Used,622
48054,Total,767
49054,Used,632
49054,Total,767
50054,Used,417
50054,Total,767
51054,Used,429
51054,Total,767
52054,Used,455
52054,Total,767
53054,Used,471
53054,Total,767
54054,Used,481
54054,Total,767
55054,Used,494
55054,Total,767
56055,Used,524
56055,Total,767
57055,Used,550
57055,Total,767
58055,Used,571
58055,Total,767
59055,Used,597
59055,Total,767
timestamp,type,value
0,Used,27
0,Total,250
1052,Used,82
1052,Total,250
2052,Used,163
2052,Total,331
3053,Used,147
3053,Total,331
4054,Used,176
4054,Total,331
5054,Used,195
5054,Total,331
6054,Used,248
6054,Total,440
7054,Used,217
7054,Total,440
8054,Used,216
8054,Total,440
9055,Used,239
9055,Total,528
10055,Used,319
10055,Total,528
11055,Used,290
11055,Total,528
12056,Used,359
12056,Total,528
13056,Used,307
13056,Total,528
14056,Used,402
14056,Total,528
15056,Used,325
15056,Total,634
16056,Used,395
16056,Total,634
17056,Used,468
17056,Total,634
18057,Used,331
18057,Total,634
19057,Used,476
19057,Total,634
20058,Used,376
20058,Total,634
21058,Used,327
21058,Total,634
22058,Used,385
22058,Total,634
23058,Used,438
23058,Total,634
24059,Used,476
24059,Total,634
25059,Used,382
25059,Total,634
26060,Used,483
26060,Total,634
27059,Used,421
27059,Total,634
28059,Used,430
28059,Total,634
29061,Used,410
29061,Total,634
30061,Used,457
30061,Total,634
31061,Used,437
31061,Total,634
32061,Used,535
32061,Total,634
33061,Used,381
33061,Total,634
34061,Used,440
34061,Total,634
35061,Used,495
35061,Total,634
36061,Used,500
36061,Total,634
37062,Used,511
37062,Total,634
38061,Used,525
38061,Total,634
39061,Used,420
39061,Total,634
40061,Used,399
40061,Total,634
41061,Used,432
41061,Total,634
42061,Used,456
42061,Total,634
43061,Used,470
43061,Total,634
44061,Used,478
44061,Total,634
45061,Used,495
45061,Total,634
46061,Used,529
46061,Total,634
47061,Used,425
47061,Total,634
48061,Used,433
48061,Total,634
49061,Used,453
49061,Total,634
50061,Used,469
50061,Total,634
51061,Used,482
51061,Total,634
52061,Used,491
52061,Total,634
53061,Used,505
53061,Total,634
54061,Used,520
54061,Total,634
55061,Used,420
55061,Total,634
56061,Used,433
56061,Total,634
57061,Used,460
57061,Total,634
58061,Used,476
58061,Total,634
59062,Used,409
59062,Total,634
